Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
2.54,13.37,19.13,4.67,18.48,0,396,28,14,237,not valid frame,1,14726,30118
2.55,11.31,12.52,4.64,13.39,0,396,28,0,237,not valid frame,1,14726,30118
2.56,11.5,11.38,4.7,11.41,0,398,29,15,237,not valid frame,1,14726,30162
2.57,11.54,11.47,4.96,11.45,0,1788304,29,15,237,not valid frame,1,14726,398
2.58,11.84,11.6,4.76,11.53,0,1791888,29,0,237,not valid frame,1,14726,398
2.6,11.77,11.82,5.13,12.45,0,1792400,29,0,237,not valid frame,1,14726,398
2.61,11.51,11.85,4.83,11.15,0,1792400,29,15,237,not valid frame,1,14726,398
2.62,11.94,11.48,4.64,11.52,0,398,29,0,237,not valid frame,1,14726,30162
2.63,21.51,13.55,8.35,15.55,0,398,29,0,237,not valid frame,1,14726,30162
2.65,17.93,20.66,4.79,17.86,0,398,29,0,237,not valid frame,1,14726,30162
2.67,19.42,17.88,4.82,17.91,0,398,29,15,237,not valid frame,1,14726,30162
2.69,19.1,19.58,4.91,19.41,0,398,29,15,237,not valid frame,1,14726,30162
2.71,16.35,18.94,4.71,19.15,0,1793424,32,15,237,not valid frame,1,14778,402
2.72,19.47,16.71,4.78,16.3,0,398,29,14,237,not valid frame,1,14726,30174
2.74,13.76,19.26,5.21,19.49,0,396,28,13,237,not valid frame,1,14726,30130
2.76,13.32,12.79,4.96,13.86,0,396,28,0,237,not valid frame,1,14726,30130
2.77,19.37,14.25,4.68,13.23,0,394,27,13,237,not valid frame,1,14726,30086
2.79,19.5,19.57,4.58,19.38,0,394,27,0,237,not valid frame,1,14726,30086
2.81,18.68,18.67,5.32,19.52,0,394,27,0,237,not valid frame,1,14726,30086
2.83,16.07,19.15,4.82,18.74,0,394,27,13,237,not valid frame,1,14726,30086
2.84,18.45,15.51,4.96,16.88,0,394,27,13,237,not valid frame,1,14726,30086
2.86,13.57,18.98,4.79,17.46,0,394,27,0,237,not valid frame,1,14726,30086
2.88,11.49,12.9,4.81,13.68,0,394,27,13,237,not valid frame,1,14726,30086
