Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
2.22,9.62,9.49,5.93,9.6,0,5372080,949,157,6,1,1,60687,1360
2.23,9.41,9.53,5.96,9.53,0,5372080,949,156,6,1,1,60687,1360
2.24,9.64,9.45,5.75,9.63,0,5373104,981,0,6,1,1,60687,1400
2.25,9.58,9.55,5.83,9.42,0,1345,947,156,6,1,1,60687,608474
2.26,9.55,9.6,6.03,9.52,0,1361,947,0,6,1,1,60687,608660
2.27,9.58,9.51,5.9,9.74,0,1444,1011,0,6,1,1,60687,640320
2.28,9.55,9.54,5.92,9.38,0,1352,946,0,6,1,1,60687,608582
2.29,9.55,9.55,6.06,9.67,0,1404,978,0,6,1,1,60687,608710
2.29,9.55,9.52,5.87,9.58,0,1439,1009,156,6,1,1,60687,640210
2.3,10.46,9.51,5.93,9.57,0,1405,981,156,6,1,1,60687,615872
2.31,9.44,10.43,5.98,9.49,0,1405,981,156,6,1,1,60687,615872
2.32,9.73,9.65,5.73,10.39,0,43910458,952,156,6,1,1,60687,5373200
2.33,9.58,9.55,5.9,9.78,0,43910650,953,156,6,1,1,60687,5373328
2.34,9.59,9.55,5.89,9.47,0,43910842,953,156,6,1,1,60687,5373456
2.35,9.53,9.55,6.11,9.79,0,43911034,951,156,6,1,1,60687,5373584
2.36,9.58,9.6,6.12,9.35,0,43911226,981,155,6,1,1,60687,5373616
2.37,9.65,9.57,5.88,9.79,0,43911418,1015,155,6,1,1,60687,1443
2.38,9.49,9.57,6.1,9.46,0,43911466,949,0,6,1,1,60687,1354
2.39,9.81,9.57,5.9,9.64,0,43911466,985,0,6,1,1,60687,1412
2.4,9.57,9.72,5.99,9.51,0,43911466,985,155,6,1,1,60687,1412
2.41,9.61,9.5,6.45,9.74,0,43911466,951,0,6,1,1,60687,1352
2.42,9.62,9.5,6.24,10.4,0,43911466,1218,0,6,1,1,60687,1751
2.43,9.59,9.63,6,8.62,0,43911466,969,154,6,1,1,60687,1369
2.44,9.63,9.59,5.92,9.73,0,43911466,981,155,6,1,1,60687,1400
2.45,9.57,9.6,5.98,9.62,0,43911466,981,0,6,1,1,60687,1402
2.46,9.54,9.52,5.93,9.63,0,43911466,983,0,6,1,1,60687,1401
2.47,9.71,9.56,6.04,9.54,0,43911466,989,156,6,1,1,60687,1407
2.48,9.55,9.67,6.28,9.68,0,43911466,989,156,6,1,1,60687,1407
2.49,9.62,9.42,5.78,9.58,0,43911466,957,0,6,1,1,60687,1354
2.5,9.68,9.59,6.1,9.55,0,43911466,955,0,6,1,1,60687,1369
2.51,9.53,9.63,6.09,9.83,0,43911466,1017,0,6,1,1,60687,1454
2.52,9.54,9.5,6.08,9.4,0,43911466,955,155,6,1,1,60687,1359
2.53,9.58,9.5,6,9.57,0,43911466,1012,0,6,1,1,60687,1433
2.54,9.58,9.63,6.15,9.94,0,43911466,982,0,6,1,1,60687,1403
2.55,9.55,9.59,5.86,9.22,0,43911466,1014,154,6,1,1,60687,1447
2.55,9.72,9.47,6.02,9.68,0,43911466,980,0,6,1,1,60687,1400
2.56,9.45,9.59,6.02,9.54,0,43911466,980,0,6,1,1,60687,1400
2.57,9.53,9.43,5.81,9.53,0,43911466,980,154,6,1,1,60687,1395
2.58,9.63,9.53,6.08,9.47,0,43911466,948,0,6,1,1,60687,1351
2.59,9.57,9.61,6.2,9.58,0,43911466,980,155,6,1,1,60687,1404
2.6,9.61,9.54,6.03,10.41,0,43911466,1049,155,6,1,1,60687,1499
2.61,9.53,9.59,6.13,8.8,0,43911466,950,0,6,1,1,60687,1357
2.62,9.54,9.47,5.86,9.85,0,43911466,1043,0,6,1,1,60687,1478
